Tahun,Bulan,Jumlah Curah Hujan di Stasiun Klimatologi Bengkulu (mm)
2020,Januari,406.7
2020,Februari,245.3
2020,Maret,429.4
2020,April,582.9
2020,Mei,221.1
2020,Juni,223.9
2020,Juli,90.9
2020,Agustus,136.4
2020,September,314.0
2020,Oktober,461.7
2020,November,605.2
2020,Desember,555.0
2021,Januari,447.4
2021,Februari,222.2
2021,Maret,294.1
2021,April,158.9
2021,Mei,429.6
2021,Juni,365.8
2021,Juli,186.9
2021,Agustus,214.0
2021,September,269.2
2021,Oktober,421.1
2021,November,256.6
2021,Desember,392.3
2022,Januari,242.6
2022,Februari,232.1
2022,Maret,224.1
2022,April,279.7
2022,Mei,276.4
2022,Juni,584.6
2022,Juli,218.4
2022,Agustus,519.5
2022,September,330.4
2022,Oktober,652.2
2022,November,604.9
2022,Desember,353.6
2023,Januari,329.5
2023,Februari,182.4
2023,Maret,257.4
2023,April,338.6
2023,Mei,92.4
2023,Juni,86.6
2023,Juli,210.5
2023,Agustus,10.5
2023,September,16.6
2023,Oktober,51.5
2023,November,100.1
2023,Desember,33.2
2024,Januari,234.3
2024,Februari,419.5
2024,Maret,364.7
2024,April,266.4
2024,Mei,300.5
2024,Juni,249.1
2024,Juli,204.8
2024,Agustus,13.3
2024,September,100.1
2024,Oktober,106.3
2024,November,316.7
2024,Desember,430.4
